App Name,Camera,Contacts,Device and app history,Device ID and call information,Identity,Location,Microphone,Phone,Photos/Media/Files,SMS,Storage,Uncategorized,Wi-Fi connection information,Calendar,Other
com.whatsapp,"
take pictures and videos","
find accounts on the device
modify your contacts
read your contacts","
retrieve running apps","
read phone status and identity","
add or remove accounts
find accounts on the device
read your own contact card","
approximate location (network-based)
precise location (GPS and network-based)","
record audio","
directly call phone numbers
read call log
read phone status and identity","
modify or delete the contents of your USB storage
read the contents of your USB storage","
receive text messages (SMS)
send SMS messages","
modify or delete the contents of your USB storage
read the contents of your USB storage","
read sync statistics
receive data from Internet","
view Wi-Fi connections",No Access,"
change network connectivity
change your audio settings
connect and disconnect from Wi-Fi
control Near Field Communication
control vibration
create accounts and set passwords
full network access
install shortcuts
pair with Bluetooth devices
prevent device from sleeping
read Google service configuration
read sync settings
run at startup
send sticky broadcast
toggle sync on and off
uninstall shortcuts
use accounts on the device
view network connections"
com.truecaller,"
take pictures and videos","
find accounts on the device
modify your contacts
read your contacts",No Access,"
read phone status and identity","
add or remove accounts
find accounts on the device
read your own contact card","
approximate location (network-based)
precise location (GPS and network-based)","
record audio","
add voicemail
directly call any phone numbers
directly call phone numbers
modify phone state
read call log
read phone status and identity
reroute outgoing calls
write call log","
modify or delete the contents of your USB storage
read the contents of your USB storage","
edit your text messages (SMS or MMS)
read your text messages (SMS or MMS)
receive text messages (MMS)
receive text messages (SMS)
send SMS messages","
modify or delete the contents of your USB storage
read the contents of your USB storage","
MMS Wakeup
bind to a notification listener service
read voicemail
receive data from Internet
use any media decoder for playback
write voicemails","
view Wi-Fi connections",No Access,"
change network connectivity
change your audio settings
control vibration
create accounts and set passwords
disable your screen lock
draw over other apps
full network access
install shortcuts
modify system settings
pair with Bluetooth devices
prevent device from sleeping
run at startup
use accounts on the device
view network connections"
com.whatsapp.w4b,"
take pictures and videos","
find accounts on the device
modify your contacts
read your contacts","
retrieve running apps","
read phone status and identity","
add or remove accounts
find accounts on the device
read your own contact card","
approximate location (network-based)
precise location (GPS and network-based)","
record audio","
directly call phone numbers
read call log
read phone status and identity","
modify or delete the contents of your USB storage
read the contents of your USB storage",No Access,"
modify or delete the contents of your USB storage
read the contents of your USB storage","
read sync statistics
receive data from Internet","
view Wi-Fi connections",No Access,"
change network connectivity
change your audio settings
connect and disconnect from Wi-Fi
control Near Field Communication
control vibration
create accounts and set passwords
full network access
install shortcuts
pair with Bluetooth devices
prevent device from sleeping
read Google service configuration
read sync settings
run at startup
send sticky broadcast
toggle sync on and off
uninstall shortcuts
use accounts on the device
view network connections"
org.telegram.messenger,"
take pictures and videos","
find accounts on the device
modify your contacts
read your contacts",No Access,"
read phone status and identity","
add or remove accounts
find accounts on the device
read your own contact card","
approximate location (network-based)
precise location (GPS and network-based)","
record audio","
directly call phone numbers
read call log
read phone status and identity","
modify or delete the contents of your USB storage
read the contents of your USB storage",No Access,"
modify or delete the contents of your USB storage
read the contents of your USB storage","
receive data from Internet","
view Wi-Fi connections",No Access,"
change your audio settings
control vibration
create accounts and set passwords
draw over other apps
full network access
install shortcuts
pair with Bluetooth devices
prevent device from sleeping
read Google service configuration
read sync settings
run at startup
toggle sync on and off
uninstall shortcuts
view network connections"
com.facebook.orca,"
take pictures and videos","
find accounts on the device
modify your contacts
read your contacts",No Access,"
read phone status and identity","
add or remove accounts
find accounts on the device
read your own contact card","
approximate location (network-based)
precise location (GPS and network-based)","
record audio","
directly call phone numbers
read phone status and identity","
modify or delete the contents of your USB storage
read the contents of your USB storage","
edit your text messages (SMS or MMS)
read your text messages (SMS or MMS)
receive text messages (MMS)
receive text messages (SMS)
send SMS messages","
modify or delete the contents of your USB storage
read the contents of your USB storage","
download files without notification
receive data from Internet","
view Wi-Fi connections","
read calendar events plus confidential information","
access Bluetooth settings
change network connectivity
change your audio settings
connect and disconnect from Wi-Fi
control Near Field Communication
control vibration
create accounts and set passwords
draw over other apps
full network access
install shortcuts
pair with Bluetooth devices
prevent device from sleeping
read Google service configuration
read sync settings
run at startup
toggle sync on and off
view network connections"
share.sharekaro.pro,"
take pictures and videos",No Access,"
retrieve running apps",No Access,No Access,"
approximate location (network-based)
precise location (GPS and network-based)",No Access,No Access,"
access USB storage filesystem
modify or delete the contents of your USB storage
read the contents of your USB storage",No Access,"
modify or delete the contents of your USB storage
read the contents of your USB storage","
modify/delete internal media storage contents
receive data from Internet","
view Wi-Fi connections",No Access,"
access Bluetooth settings
change network connectivity
change your audio settings
connect and disconnect from Wi-Fi
control vibration
create accounts and set passwords
draw over other apps
expand/collapse status bar
full network access
modify system settings
pair with Bluetooth devices
prevent device from sleeping
run at startup
toggle sync on and off
view network connections"
com.abtalk.freecall,No Access,"
find accounts on the device
modify your contacts
read your contacts",No Access,No Access,"
find accounts on the device",No Access,"
record audio","
directly call any phone numbers","
modify or delete the contents of your USB storage
read the contents of your USB storage",No Access,"
modify or delete the contents of your USB storage
read the contents of your USB storage","
receive data from Internet","
view Wi-Fi connections",No Access,"
change network connectivity
change your audio settings
control vibration
create accounts and set passwords
full network access
prevent device from sleeping
read sync settings
run at startup
toggle sync on and off
view network connections"
bharat.browser,"
take pictures and videos","
read your contacts",No Access,No Access,No Access,"
approximate location (network-based)
precise location (GPS and network-based)","
record audio",No Access,"
modify or delete the contents of your USB storage
read the contents of your USB storage",No Access,"
modify or delete the contents of your USB storage
read the contents of your USB storage","
receive data from Internet",No Access,No Access,"
change your audio settings
control vibration
draw over other apps
full network access
install shortcuts
prevent device from sleeping
run at startup
view network connections"
com.bingo.livetalk,"
take pictures and videos",No Access,No Access,No Access,No Access,No Access,"
record audio",No Access,No Access,No Access,No Access,"
receive data from Internet",No Access,No Access,"
change your audio settings
full network access
pair with Bluetooth devices
prevent device from sleeping
view network connections"
com.imo.android.imoim,"
take pictures and videos","
find accounts on the device
modify your contacts
read your contacts","
retrieve running apps","
read phone status and identity","
add or remove accounts
find accounts on the device
read your own contact card","
approximate location (network-based)
precise location (GPS and network-based)","
record audio","
directly call phone numbers
read phone status and identity","
modify or delete the contents of your USB storage
read the contents of your USB storage",No Access,"
modify or delete the contents of your USB storage
read the contents of your USB storage","
receive data from Internet","
view Wi-Fi connections","
add or modify calendar events and send email to guests without owners' knowledge
read calendar events plus confidential information","
change your audio settings
connect and disconnect from Wi-Fi
control Near Field Communication
control vibration
create accounts and set passwords
draw over other apps
full network access
install shortcuts
measure app storage space
pair with Bluetooth devices
prevent device from sleeping
read Google service configuration
read sync settings
run at startup
send sticky broadcast
toggle sync on and off
view network connections"
